	C	Unnamed: 0	accuracy	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.archive_file	model.input_embedder.token_embedders.elmo.bos_eos_tokens	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.remove_bos_eos	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	penalty	random_state	solver	test_data_path	tol	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size
0	0.0587672069498455		0.7906		0.7906			115000																	logistic regression																					l1	18241.0	liblinear		0.000991768874298904														51.88154697418213																						
1	0.15012947241729646		0.9144		0.9144			115000																	logistic regression																					l2	2298.0	liblinear		0.0002471532525847235														60.75793409347534																						
2	0.42471416775155857		0.9129999999999999		0.9129999999999999			115000																	logistic regression																					l1	96286.0	liblinear		0.003964451537691285														56.25682306289673																						
3	0.17024233041891826		0.847		0.847			115000																	logistic regression																					l1	85833.0	liblinear		0.002732900702882101														49.001443147659295																						
4	0.33342917351203405		0.8782		0.8782			115000																	logistic regression																					l1	73982.0	liblinear		0.000138167109235397														30.58426213264465																						
5	0.9158933531114032		0.828		0.828			115000																	logistic regression																					l1	61547.0	liblinear		0.005546174357439272														58.18401002883911																						
6	0.25802974549184754		0.9138		0.9138			115000																	logistic regression																					l2	72785.0	liblinear		0.00010776242798044606														144.89012980461118																						
7	0.0835149140053667		0.9138		0.9138			115000																	logistic regression																					l2	15879.0	liblinear		0.0005320447884455507														49.57225322723389																						
8	0.6798044981677019		0.9086		0.9086			115000																	logistic regression																					l1	56600.0	liblinear		0.0004168603800178137														32.20671892166138																						
9	0.4586449639043719		0.885		0.885			115000																	logistic regression																					l1	59420.0	liblinear		0.0002074745275811873														31.001415967941284																						
10	0.12555031347280374		0.8304		0.8304			115000																	logistic regression																					l2	17379.0	liblinear		0.00028775134516491427														49.62466287612915																						
11	0.9578908476601689		0.8962		0.8962			115000																	logistic regression																					l1	59185.0	liblinear		0.0013577798711589119														32.093677043914795																						
12	0.3870190003711105		0.9168		0.9168			115000																	logistic regression																					l2	93910.0	liblinear		0.0067674499948462														29.006537914276123																						
13	0.3257105352926893		0.8772		0.8772			115000																	logistic regression																					l2	13826.0	liblinear		0.002641315055872														48.564182996749885																						
14	0.30413959163060145		0.8744		0.8744			115000																	logistic regression																					l1	97006.0	liblinear		0.002674687084385363														24.065694093704227																						
15	0.4794136307491329		0.9156		0.9156			115000																	logistic regression																					l2	98536.0	liblinear		0.007009259411163672														33.386942863464355																						
16	0.2057218318398032		0.8424		0.8424			115000																	logistic regression																					l2	85893.0	liblinear		0.0004258355398906937														36.79333591461181																						
17	0.965103033053914		0.889		0.889			115000																	logistic regression																					l2	5856.0	liblinear		0.001158788273164659														101.97753500938416																						
18	0.6278384513697428		0.9142		0.9142			115000																	logistic regression																					l2	81400.0	liblinear		0.00015017002185315357														105.65228223800659																						
19	0.541578728332038		0.9126		0.9126			115000																	logistic regression																					l1	1891.0	liblinear		0.0009258442093138996														30.99843406677246																						
50		0.0		13.0	0.8708	0.3762814637487102	False	115000		True	single_id	just_spaces	semisupervised_text_classification_json	glove	22.0	False	32.0	basic	0.0	['attention maxpool meanpool']	True	261.0	50.0	1.0	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	3446.592	1248.0	792.0	940.0	1534.0	1942.0	792.0	1396.0	1368.0						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	3.981983524941146e-06	adam	10.0	+accuracy	0.8653031765493613	3446.592	2547.0	22.0	1238.0	792.0	764.0	1534.0	1122.0	760.0	1396.0	686.0	0.3804258115975208	0.0	0.8706	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.3739205501071967	10000.0
